SMILES	RT
CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(CCC(=O)O)N	112.3091221
CC1=C(C(=CC=C1)C)NC(=O)CN2CCNCC2	67.86682657
CC(C(C(=O)NC(C)C(=O)NC(C)C(=O)O)N)O	122.7812832
CCCCCC/C=C\CCCCCCCC(=O)OC(CO)COCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC	11.46178471
COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O	14.90778462
CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O	31.18062753
CC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)O)N	134.3265995
C(C(C(=O)O)N)C(=O)N	127.5361688
CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N	98.78359782
CC(C)C(C(=O)O)NC(=O)C1CCCN1C(=O)C(CC(=O)O)N	122.0115914
